,TITLE,ARTIST,GENRE,YEAR,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,POPULARITY
275,Praying,Kesha,Dance Pop,2017,73,39,58,-7,11,32,230,49,3,77
276,Bad Romance,Lady Gaga,Dance Pop,2010,119,92,70,-4,8,71,295,0,4,79
277,Telephone,Lady Gaga,Dance Pop,2010,122,83,83,-6,11,71,221,1,4,73
278,Alejandro,Lady Gaga,Dance Pop,2010,99,80,63,-7,36,37,274,0,5,69
279,Born This Way,Lady Gaga,Dance Pop,2011,124,83,59,-5,33,49,260,0,16,73
280,The Edge Of Glory,Lady Gaga,Dance Pop,2011,128,77,58,-6,11,36,321,0,4,67
281,You And I,Lady Gaga,Dance Pop,2011,127,70,52,-5,9,52,307,9,5,64
282,Judas,Lady Gaga,Dance Pop,2011,131,93,66,-4,27,53,249,0,7,63
283,Marry The Night,Lady Gaga,Dance Pop,2011,131,88,61,-4,46,38,265,0,6,61
284,Applause,Lady Gaga,Dance Pop,2013,140,78,67,-4,11,73,212,3,5,52
285,G.U.Y.,Lady Gaga,Dance Pop,2014,110,92,62,-3,12,57,233,1,4,65
286,Million Reasons,Lady Gaga,Dance Pop,2016,130,42,67,-8,11,15,205,49,4,80
287,Perfect Illusion,Lady Gaga,Dance Pop,2016,125,86,61,-5,36,66,182,0,4,67
288,The Cure,Lady Gaga,Dance Pop,2017,100,51,70,-5,9,52,211,8,3,71
289,Shallow - Radio Edit,Lady Gaga,Dance Pop,2018,96,33,57,-7,9,28,217,42,3,80
290,Strip That Down (feat. Quavo),Liam Payne,Dance Pop,2017,106,50,87,-5,8,55,202,20,5,69
291,Familiar,Liam Payne,Dance Pop,2018,93,81,64,-5,8,91,197,2,33,72
292,For You (With Rita Ora),Liam Payne,Dance Pop,2018,113,80,54,-5,42,18,243,2,3,67
293,Sheezus,Lily Allen,Dance Pop,2014,130,50,78,-7,11,39,235,15,4,37
294,Move,Little Mix,Dance Pop,2013,121,74,85,-5,55,77,224,0,9,63
295,How Ya Doin'? (feat. Missy Elliott),Little Mix,Dance Pop,2013,201,95,36,-3,37,51,211,9,48,50
296,Love Me Like You,Little Mix,Dance Pop,2015,106,67,79,-4,28,85,198,21,4,65
297,Shout Out to My Ex,Little Mix,Dance Pop,2016,126,75,77,-4,11,80,246,2,9,77
298,Touch (feat. Kid Ink),Little Mix,Dance Pop,2017,102,75,64,-4,49,53,203,4,11,59
299,Party Rock Anthem,LMFAO,Dance Pop,2011,130,74,75,-4,27,35,262,2,16,72
300,Sexy And I Know It,LMFAO,Dance Pop,2011,130,86,71,-4,19,80,199,10,32,67
301,Don't Call Me Up,Mabel,Dance Pop,2019,99,88,67,-3,8,23,178,30,15,86
302,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,Dance Pop,2013,146,93,63,-4,10,88,258,3,8,70
303,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Dance Pop,2013,95,53,78,-7,5,66,236,6,29,69
304,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,Dance Pop,2015,110,61,83,-4,29,71,293,9,7,70
305,Ghosttown,Madonna,Dance Pop,2015,79,55,54,-7,12,9,250,4,4,54
306,Living For Love,Madonna,Dance Pop,2015,123,79,67,-5,25,39,219,4,9,52
307,Cold Water (feat. Justin Bieber & MØ),Major Lazer,Dance Pop,2016,93,80,61,-5,16,50,185,7,4,73
308,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,Dance Pop,2016,108,88,75,-4,23,75,166,4,7,73
309,#Beautiful,Mariah Carey,Dance Pop,2013,107,76,68,-5,31,45,200,29,4,51
310,You're Mine (Eternal),Mariah Carey,Dance Pop,2014,149,58,63,-7,38,56,224,28,7,38
311,Uptown Funk,Mark Ronson,Dance Pop,2015,115,61,86,-7,3,93,270,1,8,82
312,Find U Again (feat. Camila Cabello),Mark Ronson,Dance Pop,2019,104,66,61,-7,20,16,176,1,3,75
313,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,Dance Pop,2019,114,79,60,-6,42,24,217,1,7,69
314,Dear Future Husband,Meghan Trainor,Dance Pop,2015,79,78,66,-5,32,83,184,38,19,72
315,Lips Are Movin,Meghan Trainor,Dance Pop,2015,139,83,78,-5,11,95,183,5,5,68
316,All About That Bass,Meghan Trainor,Dance Pop,2015,134,88,81,-4,11,96,189,5,5,65
317,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,Dance Pop,2016,108,53,63,-7,18,42,225,40,4,79
318,Me Too,Meghan Trainor,Dance Pop,2016,124,69,93,-6,48,84,181,10,10,73
319,NO,Meghan Trainor,Dance Pop,2016,92,80,56,-4,74,65,214,1,22,70
320,Cooler Than Me - Single Mix,Mike Posner,Dance Pop,2010,130,82,77,-5,70,63,213,18,5,73
321,Please Don't Go,Mike Posner,Dance Pop,2011,120,88,70,-4,13,66,197,0,3,63
322,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,Dance Pop,2016,102,71,66,-7,8,69,198,4,11,78
323,We Can't Stop,Miley Cyrus,Dance Pop,2013,80,62,61,-6,37,48,231,1,3,78
324,Wrecking Ball,Miley Cyrus,Dance Pop,2013,120,42,53,-6,11,35,221,41,3,77
325,Adore You,Miley Cyrus,Dance Pop,2014,120,66,58,-5,11,20,279,11,3,72
326,Malibu,Miley Cyrus,Dance Pop,2017,140,78,57,-6,8,34,232,8,6,78
327,Younger Now,Miley Cyrus,Dance Pop,2017,122,87,55,-5,14,33,249,0,6,62
328,WTF (Where They From),Missy Elliott,Dance Pop,2016,120,82,93,-3,6,56,193,2,20,58
329,Pep Rally,Missy Elliott,Dance Pop,2016,90,75,83,-4,20,32,263,22,12,47
330,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,Dance Pop,2013,125,68,66,-7,37,25,252,25,4,70
331,Slow Hands,Niall Horan,Dance Pop,2017,86,42,74,-7,6,85,188,1,5,64
332,This Town,Niall Horan,Dance Pop,2018,112,41,68,-8,12,20,233,70,3,64
333,Jealous - Remix,Nick Jonas,Dance Pop,2015,93,71,68,-4,44,45,222,1,8,70
334,Close,Nick Jonas,Dance Pop,2016,124,62,65,-5,14,40,234,25,8,72
335,Champagne Problems,Nick Jonas,Dance Pop,2016,108,78,73,-5,9,64,193,0,13,50
336,Remember I Told You,Nick Jonas,Dance Pop,2017,113,53,68,-6,4,84,202,14,28,53
337,Super Bass,Nicki Minaj,Dance Pop,2011,127,74,77,-7,40,59,201,6,23,38
338,Moment 4 Life - Album Version (Edited),Nicki Minaj,Dance Pop,2011,130,88,50,-4,22,37,279,39,38,28
339,Muny - Album Version (Edited),Nicki Minaj,Dance Pop,2011,98,72,80,-5,19,53,227,56,33,7
340,Starships,Nicki Minaj,Dance Pop,2012,125,72,75,-2,25,75,211,14,8,73
341,Anaconda,Nicki Minaj,Dance Pop,2014,130,60,96,-6,21,65,260,7,18,50
342,Chun-Li,Nicki Minaj,Dance Pop,2018,129,73,69,-5,11,48,192,28,37,73
343,Up,Olly Murs,Dance Pop,2015,115,85,69,-5,10,64,224,2,3,69
344,Raise Your Glass,P!nk,Dance Pop,2011,122,64,68,-7,12,56,208,0,12,38
345,Try,P!nk,Dance Pop,2012,104,63,67,-7,9,55,248,0,3,74
346,Blow Me (One Last Kiss),P!nk,Dance Pop,2012,114,92,60,-3,25,75,256,0,4,0
347,Just Give Me a Reason (feat. Nate Ruess),P!nk,Dance Pop,2013,95,55,78,-7,13,44,243,35,5,81
348,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,Dance Pop,2016,163,70,63,-6,11,50,215,1,15,71
349,What About Us,P!nk,Dance Pop,2018,114,59,39,-6,9,19,272,3,6,66
350,"Happy - From ""Despicable Me 2""",Pharrell Williams,Dance Pop,2014,160,82,65,-5,9,96,233,22,18,79
351,Come Get It Bae,Pharrell Williams,Dance Pop,2014,120,80,93,-6,10,90,202,27,8,59
352,Give Me Everything,Pitbull,Dance Pop,2011,129,94,67,-3,30,53,252,19,16,79
353,International Love,Pitbull,Dance Pop,2012,120,86,67,-3,34,65,227,1,5,72
354,Don't Stop the Party (feat. TJR),Pitbull,Dance Pop,2012,127,96,72,-4,38,95,206,1,9,59
355,Feel This Moment (feat. Christina Aguilera),Pitbull,Dance Pop,2013,136,76,67,-4,34,54,230,4,16,70
356,Outta Nowhere (feat. Danny Mercer),Pitbull,Dance Pop,2013,95,84,71,-4,21,66,207,16,3,35
357,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,Dance Pop,2014,125,94,60,-4,10,55,222,0,7,56
358,Fireball (feat. John Ryan),Pitbull,Dance Pop,2015,123,94,69,-5,5,79,235,9,6,67
359,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,Dance Pop,2015,127,85,68,-3,6,93,193,1,6,50
360,Time of Our Lives,Pitbull,Dance Pop,2015,124,80,72,-6,69,72,229,9,6,45
361,Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull,Dance Pop,2017,115,83,70,-6,36,63,245,28,27,54
362,Messin' Around,Pitbull,Dance Pop,2017,158,81,57,-5,4,78,223,2,5,51
363,Mr. Put It Down,Ricky Martin,Dance Pop,2015,128,78,80,-6,4,83,196,1,18,42
364,Anywhere,Rita Ora,Dance Pop,2018,107,80,63,-4,10,32,215,4,6,74
365,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora,Dance Pop,2018,94,69,73,-4,10,42,221,2,5,64
366,Sugar (feat. Francesco Yates),Robin Schulz,Dance Pop,2015,123,82,64,-5,16,64,219,2,6,60
367,OK - Spotify Version,Robin Schulz,Dance Pop,2017,122,81,65,-6,13,58,189,12,6,69
368,Blurred Lines,Robin Thicke,Dance Pop,2013,120,60,85,-5,8,84,264,0,4,76
369,Give It 2 U,Robin Thicke,Dance Pop,2013,127,83,67,-4,16,58,230,10,7,41
370,Lay It All on Me,Rudimental,Dance Pop,2015,123,75,67,-7,19,48,242,14,4,62
371,These Days,Rudimental,Dance Pop,2018,92,81,65,-4,17,55,211,19,5,80
372,Eenie Meenie,Sean Kingston,Dance Pop,2010,121,61,72,-4,11,83,202,5,3,71
373,Come & Get It,Selena Gomez,Dance Pop,2013,80,79,55,-4,10,58,232,1,5,57
374,The Heart Wants What It Wants,Selena Gomez,Dance Pop,2015,83,79,62,-5,14,62,227,5,4,72
375,Same Old Love,Selena Gomez,Dance Pop,2015,98,59,67,-4,21,44,229,2,3,69
376,Hands To Myself,Selena Gomez,Dance Pop,2016,111,50,81,-7,34,47,201,1,12,71
377,Kill Em With Kindness,Selena Gomez,Dance Pop,2016,120,88,76,-5,10,40,218,1,4,70
378,Wolves,Selena Gomez,Dance Pop,2018,125,80,72,-5,20,31,198,12,4,83
379,Bad Liar,Selena Gomez,Dance Pop,2018,121,41,97,-6,8,73,215,19,7,75
380,Lose You To Love Me,Selena Gomez,Dance Pop,2019,102,34,51,-9,21,9,206,58,4,97
381,Naturally,Selena Gomez & The Scene,Dance Pop,2010,133,90,61,-5,5,88,203,2,5,64
382,Love You Like A Love Song,Selena Gomez & The Scene,Dance Pop,2012,117,68,86,-4,7,92,188,8,5,76
383,Easy Love,Sigala,Dance Pop,2015,124,94,68,-4,12,65,230,18,6,67
384,Came Here for Love,Sigala,Dance Pop,2017,125,87,71,-3,12,72,203,3,4,70
385,Cruel (feat. ZAYN),Snakehips,Dance Pop,2016,110,88,60,-4,16,32,228,2,12,63
386,Dynamite,Taio Cruz,Dance Pop,2010,120,78,75,-4,4,82,203,0,9,77
387,Break Your Heart,Taio Cruz,Dance Pop,2010,122,90,67,-5,8,63,186,0,3,33
388,Written in the Stars (feat. Eric Turner),Tinie Tempah,Dance Pop,2010,91,95,64,-4,18,57,220,6,7,52
389,Cool Girl,Tove Lo,Dance Pop,2016,102,69,67,-7,8,20,199,31,11,69
390,Influence,Tove Lo,Dance Pop,2017,105,59,77,-10,11,33,225,10,5,54
391,My My My!,Troye Sivan,Dance Pop,2018,103,46,70,-8,5,48,205,0,8,76
392,#thatPOWER,will.i.am,Dance Pop,2013,128,61,80,-6,7,40,280,0,6,68
393,Desire,Years & Years,Dance Pop,2016,126,78,71,-5,30,64,203,30,6,58
394,Never Forget You,Zara Larsson,Dance Pop,2015,146,73,58,-6,27,28,213,0,5,77
395,7 Years,Lukas Graham,Danish Pop,2016,120,47,77,-6,39,34,237,29,5,80
396,Love Incredible (feat. Camila Cabello),Cashmere Cat,Downtempo,2017,167,50,37,-9,20,21,180,6,12,59
397,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,Downtempo,2018,100,64,75,-5,11,45,186,25,9,64
398,It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,64,-7,9,52,221,12,7,79
399,First Time,Kygo,edm,2017,90,59,63,-7,10,68,194,20,11,71
400,Higher Love,Kygo,edm,2019,104,68,69,-7,10,40,228,2,3,88
401,Electricity (with Dua Lipa),Silk City,edm,2018,118,67,59,-6,34,51,238,1,5,82
402,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Electro,2013,116,81,79,-9,10,86,248,4,4,77
403,Lose Yourself to Dance,Daft Punk,Electro,2013,100,66,83,-8,8,67,354,8,6,72
404,Tired,Alan Walker,Electro House,2017,124,88,69,-4,15,49,192,4,6,70
405,Let Me Love You,DJ Snake,Electronic trap,2017,100,72,65,-5,14,16,206,9,3,82
406,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,Electronic trap,2019,96,80,84,-4,6,62,213,16,23,77
407,Electric Love,BORNS,ElectroPop,2016,120,80,61,-8,26,52,218,1,5,76
408,Trampoline (with ZAYN),SHAED,ElectroPop,2019,127,46,62,-6,14,50,184,56,3,92
409,#SELFIE,The Chainsmokers,ElectroPop,2014,128,92,79,-3,8,66,184,1,25,65
410,Don't Let Me Down,The Chainsmokers,ElectroPop,2016,160,87,53,-5,14,42,208,16,17,81
411,Roses,The Chainsmokers,ElectroPop,2016,100,80,71,-7,31,34,227,4,6,74
412,All We Know,The Chainsmokers,ElectroPop,2016,90,59,66,-9,12,30,194,10,3,72
413,Closer,The Chainsmokers,ElectroPop,2017,95,52,75,-6,11,66,245,41,3,86
414,Something Just Like This,The Chainsmokers,ElectroPop,2017,103,65,61,-7,17,51,248,3,4,78
415,Paris,The Chainsmokers,ElectroPop,2017,100,64,65,-7,9,25,222,2,3,76
416,Sick Boy,The Chainsmokers,ElectroPop,2018,90,58,66,-8,12,45,193,11,5,76
417,Takeaway,The Chainsmokers,ElectroPop,2019,100,51,53,-8,10,35,210,13,3,83
418,Call You Mine,The Chainsmokers,ElectroPop,2019,104,70,59,-6,34,52,218,20,3,81
419,Kills You Slowly,The Chainsmokers,ElectroPop,2019,150,44,70,-9,13,23,213,6,6,67
420,Truth Hurts,Lizzo,Escape Room,2019,158,62,72,-3,12,41,173,11,11,90
421,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Escape Room,2019,96,89,67,-3,74,48,159,30,6,90
422,Let Her Go,Passenger,Folk-Pop,2014,75,54,51,-7,10,24,253,39,6,77
423,Beautiful Birds (feat. Birdy),Passenger,Folk-Pop,2016,86,17,39,-13,11,14,214,91,3,36
424,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,French Indie Pop,2015,123,89,76,-5,62,78,189,2,3,58
425,"Me, Myself & I",G-Eazy,Hip Hop,2016,112,67,76,-7,16,38,251,2,10,78
426,Him & I (with Halsey),G-Eazy,Hip Hop,2018,88,73,59,-6,31,19,269,5,9,78
427,Lemon,N.E.R.D,Hip Hop,2018,95,73,92,-7,12,20,220,0,9,68
428,See You Again (feat. Charlie Puth),Wiz Khalifa,Hip Hop,2015,80,48,69,-8,6,28,230,37,8,56
429,Empire State of Mind (Part II) Broken Down,Alicia Keys,Hip Pop,2010,93,37,48,-8,12,14,216,74,3,76
430,Try Sleeping with a Broken Heart,Alicia Keys,Hip Pop,2010,111,82,50,-5,13,55,249,16,11,62
431,Doesn't Mean Anything,Alicia Keys,Hip Pop,2010,104,41,71,-7,10,10,273,4,3,57
432,Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,Hip Pop,2013,93,81,55,-6,15,34,271,9,31,59
433,It's On Again - Main Soundtrack,Alicia Keys,Hip Pop,2014,110,54,64,-9,25,53,230,10,11,30
434,We Are Here,Alicia Keys,Hip Pop,2015,93,67,64,-6,8,8,285,43,4,49
435,Cannonball,Lea Michele,Hollywood,2014,92,82,56,-3,19,57,215,2,5,37
436,Latch,Disclosure,House,2014,122,73,50,-5,9,52,256,2,17,72
437,Animal,Neon Trees,Indie Pop,2010,148,83,48,-6,38,74,212,0,4,65
438,Everybody Talks,Neon Trees,Indie Pop,2013,155,92,47,-4,31,73,177,0,6,74
439,Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81
440,Con Calma - Remix,Daddy Yankee,Latin,2019,94,87,74,-3,4,61,181,17,5,76
441,Picky - Remix,Joey Montana,Latin,2016,186,81,70,-3,37,69,225,9,7,29
442,Despacito - Remix,Luis Fonsi,Latin,2017,178,82,65,-4,10,82,229,23,17,76
443,Pompeii,Bastille,MetroPopolis,2014,127,72,68,-6,27,57,214,8,4,73
444,Boom Boom,RedOne,Moroccan Pop,2018,110,76,75,-8,20,58,248,0,5,53
445,Say Something,A Great Big World,Neo Mellow,2014,138,15,45,-9,9,9,229,87,3,61
446,Wings,Birdy,Neo Mellow,2014,83,71,47,-5,16,22,252,8,3,62
447,Not About Angels,Birdy,Neo Mellow,2014,116,14,41,-10,9,23,190,97,4,56
448,Tee Shirt - Soundtrack Version,Birdy,Neo Mellow,2014,76,34,68,-9,9,56,160,84,3,49
449,Words as Weapons,Birdy,Neo Mellow,2014,120,35,53,-9,14,19,239,28,3,44
450,Keeping Your Head Up,Birdy,Neo Mellow,2016,122,78,60,-5,19,53,208,16,5,52
451,All of Me,John Legend,Neo Mellow,2014,120,26,42,-7,13,33,270,92,3,86
452,Start,John Legend,Neo Mellow,2016,110,4,52,-15,9,26,310,99,4,47
453,"Hey, Soul Sister",Train,Neo Mellow,2010,97,89,67,-4,8,80,217,19,4,83
454,Just the Way You Are,Bruno Mars,Pop,2010,109,84,64,-5,9,43,221,2,4,78
455,Marry You,Bruno Mars,Pop,2010,145,83,62,-5,10,48,230,33,4,73
456,Grenade,Bruno Mars,Pop,2011,110,56,71,-7,12,23,223,15,6,75
457,Locked Out of Heaven,Bruno Mars,Pop,2012,144,70,73,-4,31,87,233,5,4,79
458,It Will Rain,Bruno Mars,Pop,2012,150,84,58,-7,8,48,258,34,5,38
459,Treasure,Bruno Mars,Pop,2014,116,69,87,-5,32,94,179,4,4,77
460,Gorilla,Bruno Mars,Pop,2014,140,54,72,-7,10,64,244,45,4,68
461,Young Girls,Bruno Mars,Pop,2014,126,75,56,-5,21,50,229,46,3,67
462,That's What I Like,Bruno Mars,Pop,2017,134,56,85,-5,9,86,207,1,4,83
463,24K Magic,Bruno Mars,Pop,2017,107,80,82,-4,15,63,226,3,8,69
464,Finesse - Remix; feat. Cardi B,Bruno Mars,Pop,2018,105,86,70,-5,2,93,217,2,10,78
465,Bodak Yellow,Cardi B,Pop,2017,125,72,93,-6,35,46,224,7,11,70
466,I Like It,Cardi B,Pop,2018,136,73,82,-4,37,65,253,10,13,85
467,Drip (feat. Migos),Cardi B,Pop,2018,130,59,97,-8,8,27,264,5,26,45
468,Impossible,James Arthur,Pop,2013,170,70,38,-5,11,30,209,14,9,77
469,Love Me Again,John Newman,Pop,2014,126,89,50,-5,10,21,240,0,4,73
470,Beneath Your Beautiful,Labrinth,Pop,2013,84,52,56,-6,10,23,272,23,4,70
471,Someone You Loved,Lewis Capaldi,Pop,2019,110,41,50,-6,11,45,182,75,3,96
472,Rude,MAGIC!,Pop,2014,144,76,77,-5,31,93,225,4,4,79
473,Misery,Maroon 5,Pop,2010,103,81,70,-5,22,73,216,0,4,65
474,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,Pop,2011,128,76,72,-4,32,62,201,1,5,76
475,Payphone,Maroon 5,Pop,2012,110,75,74,-5,29,55,231,2,4,79
476,One More Night,Maroon 5,Pop,2012,93,82,72,-3,8,62,220,6,3,73
477,Daylight,Maroon 5,Pop,2013,120,67,66,-5,26,37,225,0,3,66
478,Love Somebody,Maroon 5,Pop,2013,120,78,68,-6,12,40,230,13,4,65
479,Maps,Maroon 5,Pop,2014,120,71,74,-6,6,88,190,2,3,78
480,Sugar,Maroon 5,Pop,2015,120,79,75,-7,9,88,235,6,3,81
481,Animals,Maroon 5,Pop,2015,190,74,28,-6,59,33,231,0,9,76
482,Cold (feat. Future),Maroon 5,Pop,2017,100,72,69,-6,5,41,234,14,11,72
483,What Lovers Do (feat. SZA),Maroon 5,Pop,2018,110,60,80,-5,10,42,200,8,6,79
484,Wait,Maroon 5,Pop,2018,126,60,66,-5,11,45,191,10,6,67
485,Memories,Maroon 5,Pop,2019,91,32,76,-7,8,57,189,84,5,99
486,Girls Like You (feat. Cardi B),Maroon 5,Pop,2019,125,54,85,-7,13,45,236,57,5,81
487,Love Never Felt So Good,Michael Jackson,Pop,2014,118,72,78,-6,7,71,246,13,4,71
488,Good Time,Owl City,Pop,2012,126,87,56,-4,37,68,206,2,14,73
489,Stay With Me,Sam Smith,Pop,2014,84,42,42,-6,11,18,173,59,4,85
490,I'm Not The Only One,Sam Smith,Pop,2015,82,49,68,-6,8,49,239,53,4,84
491,How Do You Sleep?,Sam Smith,Pop,2019,111,68,48,-5,8,35,202,15,9,93
492,Waves - Robin Schulz Radio Edit,Mr. Probz,Tropical House,2015,120,51,83,-9,8,45,208,1,4,77
493,Runnin' (Lose It All),Naughty Boy,Tropical House,2015,139,85,32,-6,48,8,213,1,8,69
